ISMIP6: List of Antarctic 2300 experiments;;;;;;;;;;;
ISMIP6 - Antarctica Initialization experiments (wiki Table 2, Tier 1);;;;;;;;;;;
exp_id;;;Notes;;;;;;;;
historical;;;Needed to bring model from initial state to projection start date (January 1, 2015);;;;;;;;
ctrl_proj;;;Unforced control run starting from projection start date (January 2015), needed to evaluate model drift due to the historical run. Setup is similar to projections but with no anomalies. ;;;;;;;;
;;;;;;;;;;;
Tier 1;;Experiments that should be done by all groups, if possible ;;;;;;;;;
Tier 2;;Experiments that are highly encouraged;;;;;;;;;
Tier 3;;Experiments that are optional. Groups can chose to focus on one aspect of these experiments.;;;;;;;;;
;;;;;;;;;;;
ISMIP6 -  Antarctica 2300 Projections ;;;;;;;Dataset Processing status;;;;
Experiment #;Experiment ID;Scenario;AOGCM;Ice shelf collapse;Forcing;Tier;ATM;OC;Ice Frac;;
1;expAE01;2,6;NorESM1-M;No;Repeat;"Tier 1             (Table 1 wiki; core experiments)";No;No;N/A;;
2;expAE02;8,5;CCSM4;No;To 2300;;Yes;Yes;N/A;;
3;expAE03;8,5;HadGEM2-RS;No;To 2300;;Yes;Yes;N/A;;
4;expAE04;ssp585;CESM2;No;To 2300;;Yes;Yes;N/A;;
5;expAE05;ssp585;UKESM1-0-LL;No;To 2300;;Yes;Yes;N/A;;
6;expAE06;ssp585;UKESM1-0-LL;No;Repeat;;No;No;N/A;;
7;expAE07;8,5;NorESM1-M;No;Repeat;"Tier 2           (Table 2 wiki; experiments with repeat forcing, low emissions, shelf collapse)";No;No;N/A;;
8;expAE08;8,5;HadGEM2-RS;No;Repeat;;No;No;N/A;;
9;expAE09;ssp585;CESM2;No;Repeat;;No;No;N/A;;
10;expAE10;ssp126;UKESM1-0-LL;No;To 2300;;Yes;Yes;N/A;;
11;expAE11;8,5;CCSM4;Yes;To 2300;;Yes;Yes;Yes;;
12;expAE12;8,5;HadGEM2-RS;Yes;To 2300;;Yes;Yes;Yes;;
13;expAE13;ssp585;CESM2;Yes;To 2300;;Yes;Yes;Yes;;
14;expAE14;ssp585;UKESM1-0-LL;Yes;To 2300;;Yes;Yes;Yes;;
15;expAE15;RCP8.5;CCSM4;No;2300, ocean only;Tier 3 (Ocean only, atmosphere only, ...);TO BE REFINED;;;;
16;expAE16;ssp 585;CESM2;No;2300, ocean only;;;;;;
17;expAE17;RCP8.5;HadGEM;No;2300, ocean only;;;;;;
18;expAE18;ssp 585;UKESM;No;2300, ocean only;;;;;;
19;expAE19;RCP8.5;CCSM4;No;2300, atmosphere only;;;;;;
20;expAE20;ssp 585;CESM2;No;2300, atmosphere only;;;;;;
21;expAE21;RCP8.5;HadGEM;No;2300, atmosphere only;;;;;;
22;expAE22;ssp 585;UKESM;No;2300, atmosphere only;;;;;;
23;expAE23;RCP8.5;CCSM4;Yes;2300, ocean only;;;;;;
24;expAE24;ssp 585;CESM2;Yes;2300, ocean only;;;;;;
25;expAE25;RCP8.5;HadGEM;Yes;2300, ocean only;;;;;;
26;expAE26;ssp 585;UKESM;Yes;2300, ocean only;;;;;;
27;expAE27;RCP8.5;CCSM4;Yes;2300, atmosphere only;;;;;;
28;expAE28;ssp 585;CESM2;Yes;2300, atmosphere only;;;;;;
29;expAE29;RCP8.5;HadGEM;Yes;2300, atmosphere only;;;;;;
30;expAE30;ssp 585;UKESM;Yes;2300, atmosphere only;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
