experiment,min_RMSE,min_year,simulation
expAE01,0.0460270496336282,2301,ULB_fETISh-KoriBU1
expAE02,0.0426134922369462,2300,ULB_fETISh-KoriBU1
expAE03,0.012317550292699,2235,ULB_fETISh-KoriBU1
expAE04,0.0441871337266181,2299,ULB_fETISh-KoriBU1
expAE05,0.0,2273,ULB_fETISh-KoriBU1
expAE06,0.0397152881276501,2299,ULB_fETISh-KoriBU1
expAE07,0.0424203249886615,2301,ULB_fETISh-KoriBU1
expAE08,0.013214826589245,2284,ULB_fETISh-KoriBU1
expAE09,0.0473464086453355,2290,ULB_fETISh-KoriBU1
expAE10,0.0354237312111089,2301,ULB_fETISh-KoriBU1
expAE11,0.0457444412539091,2299,ULB_fETISh-KoriBU1
expAE12,0.0160910430644581,2241,ULB_fETISh-KoriBU1
expAE13,0.0463265983693696,2270,ULB_fETISh-KoriBU1
expAE14,0.044152882025985,2167,ULB_fETISh-KoriBU1
expAE01,0.0461583414029404,2299,ULB_fETISh-KoriBU2
expAE02,0.0166196247991644,2237,ULB_fETISh-KoriBU2
expAE03,0.0131984614726395,2166,ULB_fETISh-KoriBU2
expAE04,0.0146276104281965,2215,ULB_fETISh-KoriBU2
expAE05,0.0163838734968798,2190,ULB_fETISh-KoriBU2
expAE06,0.0146718695624072,2192,ULB_fETISh-KoriBU2
expAE07,0.0342069941862684,2300,ULB_fETISh-KoriBU2
expAE08,0.0151929257176743,2162,ULB_fETISh-KoriBU2
expAE09,0.0248534624213488,2301,ULB_fETISh-KoriBU2
expAE10,0.0405126903432055,2300,ULB_fETISh-KoriBU2
expAE11,0.0372032987529128,2233,ULB_fETISh-KoriBU2
expAE12,0.0149924447744791,2163,ULB_fETISh-KoriBU2
expAE13,0.0412161157624128,2216,ULB_fETISh-KoriBU2
expAE14,0.0368706769041681,2188,ULB_fETISh-KoriBU2
